id,y,big__big_f_bp_0_500__meanch,big__big_f_bp_0_500__stdch,big__big_f_bp_10000_20000__meanch,big__big_f_bp_10000_20000__stdch,big__big_f_bp_2000_5000__meanch,big__big_f_bp_2000_5000__stdch,big__big_f_bp_5000_10000__meanch,big__big_f_bp_5000_10000__stdch,big__big_f_bp_500_2000__meanch,big__big_f_bp_500_2000__stdch,big__big_f_f_dom__meanch,big__big_f_f_dom__stdch,big__big_f_rolloff_85__meanch,big__big_f_rolloff_85__stdch,big__big_f_spec_bw__meanch,big__big_f_spec_bw__stdch,big__big_f_spec_centroid__meanch,big__big_f_spec_centroid__stdch,big__big_f_spec_entropy__meanch,big__big_f_spec_entropy__stdch,big__big_t_crest__meanch,big__big_t_crest__stdch,big__big_t_energy__meanch,big__big_t_energy__stdch,big__big_t_kurt__meanch,big__big_t_kurt__stdch,big__big_t_maxabs__meanch,big__big_t_maxabs__stdch,big__big_t_mean__meanch,big__big_t_mean__stdch,big__big_t_ptp__meanch,big__big_t_ptp__stdch,big__big_t_rms__meanch,big__big_t_rms__stdch,big__big_t_skew__meanch,big__big_t_skew__stdch,big__big_t_std__meanch,big__big_t_std__stdch,big__big_t_zcr__meanch,big__big_t_zcr__stdch,big__big_tf_stft_0_500_mean__meanch,big__big_tf_stft_0_500_mean__stdch,big__big_tf_stft_0_500_std__meanch,big__big_tf_stft_0_500_std__stdch,big__big_tf_stft_10000_20000_mean__meanch,big__big_tf_stft_10000_20000_mean__stdch,big__big_tf_stft_10000_20000_std__meanch,big__big_tf_stft_10000_20000_std__stdch,big__big_tf_stft_2000_5000_mean__meanch,big__big_tf_stft_2000_5000_mean__stdch,big__big_tf_stft_2000_5000_std__meanch,big__big_tf_stft_2000_5000_std__stdch,big__big_tf_stft_5000_10000_mean__meanch,big__big_tf_stft_5000_10000_mean__stdch,big__big_tf_stft_5000_10000_std__meanch,big__big_tf_stft_5000_10000_std__stdch,big__big_tf_stft_500_2000_mean__meanch,big__big_tf_stft_500_2000_mean__stdch,big__big_tf_stft_500_2000_std__meanch,big__big_tf_stft_500_2000_std__stdch,big__big_tf_stft_mag_mean__meanch,big__big_tf_stft_mag_mean__stdch,big__big_tf_stft_mag_std__meanch,big__big_tf_stft_mag_std__stdch,big__big_w_wav_E_L0__meanch,big__big_w_wav_E_L0__stdch,big__big_w_wav_E_L1__meanch,big__big_w_wav_E_L1__stdch,big__big_w_wav_E_L2__meanch,big__big_w_wav_E_L2__stdch,big__big_w_wav_E_L3__meanch,big__big_w_wav_E_L3__stdch,big__big_w_wav_E_L4__meanch,big__big_w_wav_E_L4__stdch
good/蛋1.xlsx,0,1.012160219888042e-06,3.531451031506917e-07,8.170729145499089e-07,2.3211358351143924e-08,3.237963799598142e-07,2.2990943599658698e-08,1.257749851493789e-06,4.1406013049684876e-08,6.860650477392184e-07,9.328523383950238e-08,3445.3125,3023.4375,18609.375,796.875,7679.571866782955,26.470675670612763,7759.1850720837465,550.8237166610229,5.126794563020036,0.17204365337732952,8.539378587663052,0.41600794190082624,0.02088331614583349,0.0008862836458333277,6.031251413924646,0.36664383786211285,0.01778927083333348,0.0004894791666666398,1.2163881013549372e-16,2.8611372530444137e-17,0.029000000000000026,0.0010000000000000009,0.002085361104014396,4.427109191301043e-05,0.3362830270874835,0.09977531826195771,0.002085361104014396,4.427109191301043e-05,0.3692435924150865,0.0016670139612419144,0.00019813658397183976,1.558465904546659e-05,0.00027598541290032994,5.34700750998394e-05,6.316444049637125e-05,5.219837721466149e-07,3.8741421876606166e-05,1.2370441100431075e-07,7.235756539578549e-05,2.7726523626851187e-06,4.389480096260402e-05,1.6305575491298978e-06,9.378671944865579e-05,1.1204750082176583e-07,9.244943706920031e-05,2.52552682723843e-07,0.00010106479149153996,5.163088016315906e-06,0.0001342923892915997,1.4418005178717803e-05,7.82539046197817e-05,3.0949884724367096e-07,8.29212152203571e-05,3.1530166072292176e-06,0.00683097665579185,0.0009400401704008003,0.0006479521853358053,2.072188939875925e-05,0.0025430441445777737,0.00019578946668917258,0.004977989623260153,4.7192614759903294e-05,0.0060269339679543295,1.2249338524887576e-05
good/蛋10.xlsx,0,6.298059280664468e-08,8.40399331010857e-09,8.162378890895047e-07,4.734075925247733e-12,2.8538380031852494e-07,8.45782854939893e-09,1.2742304873470154e-06,6.263183305775939e-08,1.0406495883032576e-07,1.905147484103073e-09,6445.3125,23.4375,22078.125,46.875,6952.645896226463,21.581742458834015,11480.130293849055,113.59804842287394,5.403076725429951,0.03778413364989186,4.906515736809521,0.05551658477128241,0.014649803645833428,0.0004172555208333149,2.0386832514562885,0.02943475659446282,0.008569479166666727,2.5104166666678474e-05,9.390636416621116e-17,1.1426045295100568e-17,0.016999999999999904,0.0,0.0017468323698693225,2.4881675828300367e-05,-0.19884633300572746,0.018259942997061254,0.0017468323698693223,2.4881675828300476e-05,0.41508647634923945,0.007084809335278192,7.666905112088074e-05,1.8615507642256773e-06,5.291769308195959e-05,3.8047165790706945e-06,6.36084834348753e-05,1.4156200106247901e-06,3.9034538111724185e-05,6.817544125645731e-07,7.02650407396385e-05,7.875245855228525e-07,4.554110573381584e-05,1.1878607018709681e-06,9.344503076769476e-05,2.1897934608729083e-06,9.405743432623684e-05,1.8099681053231976e-06,5.980886884660604e-05,1.7847176893972086e-06,3.2825774898687295e-05,3.4340328876314487e-06,7.268171963083924e-05,1.500186983779679e-06,6.201782955850296e-05,2.3496627503732454e-07,0.0006427950078388366,5.792485218604655e-05,0.0006044500005123845,5.261023224832108e-07,0.00246688261179287,9.234211578425027e-06,0.004932836757868817,0.00014254346297192227,0.006047275043956713,0.0002298675888295367
good/蛋11.xlsx,0,8.314753615570948e-08,1.6434481971810983e-09,8.733874320081234e-07,1.014805314189363e-07,3.263907248056574e-07,1.6473550622374744e-08,1.2507519245185026e-06,1.7941757293995853e-08,1.2112653591595822e-07,1.179752097881711e-08,6468.75,46.875,21984.375,93.75,7004.348368757215,2.897286823521881,11323.682882894727,125.63735117180659,5.563260843055005,0.03992966505275897,15.07717681836892,10.282041664555472,0.016503274479166788,0.0009384846875000073,44.40586750259202,42.480409519046034,0.028487604166666625,0.019852812499999928,7.387609043026562e-17,1.1981156807413147e-17,0.03649999999999998,0.020499999999999963,0.0018534832957668548,5.274329789637386e-05,-1.8364509937686617,1.6968339529512821,0.0018534832957668548,5.274329789637386e-05,0.42206709731194,0.0032298395499062438,8.64683374301321e-05,3.7298296761991873e-06,6.409098215849875e-05,1.6108933004901855e-06,6.663941606007193e-05,2.702937911477137e-06,4.498744556131322e-05,2.8084196644130576e-06,7.686862180010024e-05,3.276221046376123e-06,4.685850928659527e-05,2.996605553038997e-06,9.841852680561807e-05,5.204192126327624e-07,9.54898286319276e-05,7.927618193875844e-07,6.330633438472375e-05,1.9190533580891193e-06,4.112248571745229e-05,2.2620796503836496e-06,7.711765622394275e-05,2.0019197913632286e-06,6.591081852673804e-05,1.1132206101505777e-06,0.0008093271057841719,5.564675259245663e-05,0.0006703478481189235,0.00011769495306555822,0.002726591791670414,0.00010310592799661232,0.005451039316863688,0.0001759799526368129,0.006918628222079032,0.0005089825030204658
good/蛋12.xlsx,0,1.1621465967001973e-07,9.023458266089803e-09,8.366209107579501e-07,5.149486869329877e-09,2.5864514446213706e-07,5.890668415423785e-09,1.243390790884679e-06,2.4331065955986113e-08,1.0266843270907493e-07,6.392531445515523e-09,6468.75,46.875,22054.6875,70.3125,7051.860078154114,21.78291766762186,11441.948756974398,69.71984458481074,5.454665351488769,0.04401579466345451,8.869731077357198,3.620642414563595,0.015531289895833427,0.0002905432291666673,4.36734563791202,2.388781554888084,0.016015104166666627,0.0066617708333333026,3.700743415417191e-18,5.301314942585123e-17,0.024499999999999966,0.00649999999999995,0.0017987224043369055,1.6825786809509516e-05,0.016165863350775425,0.25886137280864224,0.0017987224043369055,1.6825786809509516e-05,0.42185872056678475,0.008439258178787268,9.094189247549098e-05,4.097138842952033e-06,8.004296850630124e-05,5.046914255644937e-06,6.650551462640249e-05,1.420493765654723e-06,4.143543646599938e-05,1.270843882042573e-06,6.96786721571996e-05,2.128627801448093e-06,4.138395533910601e-05,1.0020778127869602e-06,9.498558070034668e-05,7.677751888010296e-07,9.35708399329668e-05,9.304148895367882e-07,5.941831760813904e-05,6.864485188090477e-08,3.589978860527989e-05,4.428331487285723e-06,7.479640167083339e-05,1.2931817574016126e-06,6.300681621983532e-05,1.5646467750555715e-06,0.0009590535368106538,4.439455936490423e-05,0.0005141808346996982,3.706777617987965e-05,0.00237359047783947,2.7014773030805284e-05,0.005213136749784226,0.00016581548194792226,0.00665638175551874,1.9511154649687855e-05
good/蛋13.xlsx,0,1.184301444651657e-07,9.119711352167794e-09,8.594627594329954e-07,6.357935143117351e-08,2.901824269911303e-07,2.3020602127198875e-08,1.3471541659276248e-06,8.513609359895785e-08,9.496000449395731e-08,1.3651964929239835e-08,6492.1875,23.4375,22171.875,0.0,7128.351569334465,11.392164115759442,11616.390590092304,64.7199621971995,5.371953503095808,0.009120432050215399,5.850201161575674,0.09827109309068849,0.01497349322916676,0.0004132934374999958,2.3627784225230384,0.16514308952845358,0.010329270833333348,3.093750000005002e-05,-7.489379486950535e-17,4.949744318120489e-17,0.018999999999999906,0.0,0.0017660360974734988,2.4377417766925777e-05,-0.20867920259487877,0.003283222853498566,0.0017660360974734988,2.4377417766925885e-05,0.42540112523442386,0.004271723275682454,8.565387687259817e-05,5.095826130653542e-08,8.243442453244101e-05,6.762822166686437e-06,6.353995399980732e-05,1.3678592269329866e-06,4.000838260005751e-05,1.8310965462576726e-06,7.025114457417429e-05,2.1675361751979106e-06,4.11202388200164e-05,1.8990599126166633e-06,9.364097633480507e-05,3.2866224740612507e-07,9.400709814499895e-05,4.017838456230951e-06,5.566300829888082e-05,3.6842930983460568e-06,3.554721729473829e-05,2.528827876473145e-06,7.25645750542559e-05,8.932867326227523e-07,6.330880802946433e-05,2.486157279004612e-06,0.00090827968424465,2.1630511902372346e-05,0.0004754847174993578,5.74760193832347e-07,0.002625257360201472,3.94336641748763e-05,0.004915854403604079,2.4365195906165572e-05,0.006147971334563437,0.00025094950098172777
good/蛋14.xlsx,0,1.3428843991602529e-07,1.1851637777015403e-08,7.965997711850369e-07,8.349562927261623e-09,2.6317924948457355e-07,2.0701461461502857e-09,1.292201702953389e-06,2.301734220728426e-09,1.2157047355122428e-07,1.6061692191079657e-08,6445.3125,23.4375,22101.5625,23.4375,7144.143444641884,60.392172015571305,11232.863957113073,104.35254889183852,5.445554786785334,0.029247615839685714,7.455754561320235,1.7731179752988084,0.015648924479166756,7.85346874999926e-05,2.620863568660408,0.7455756989716043,0.013470104166666608,0.003235312500000087,6.973588373426765e-17,1.5288696234942262e-17,0.02299999999999991,0.0040000000000000036,0.0018055946588694267,4.53074923233588e-06,-0.15921431882405124,0.01958398594927116,0.0018055946588694267,4.53074923233588e-06,0.4215461554490519,0.005001041883725799,8.767149029415972e-05,1.774802030031974e-08,8.950588055368401e-05,5.993366550359349e-06,6.499250610877909e-05,8.403152089684902e-09,3.9184588316786505e-05,4.039479475514786e-07,7.008236043976981e-05,1.376664585660228e-06,4.077023715950375e-05,1.8983771043426573e-06,9.669068635760966e-05,1.987068091397551e-06,9.35364680743535e-05,9.491505511296147e-07,6.166102408273874e-05,3.0456324322145475e-06,3.944678865174211e-05,3.3747027069772443e-06,7.49534257986607e-05,2.7025233933489543e-07,6.29909547113101e-05,7.463398979017311e-07,0.001086372464802738,9.86465325843091e-06,0.0005003407857500763,5.843469760106261e-05,0.0026099849120479433,5.956999317173039e-05,0.00509368061926829,0.00018872742823710948,0.006507089292670595,8.478823500920538e-05
good/蛋15.xlsx,0,6.287357527314572e-08,4.932325006703943e-09,8.0942312460465e-07,4.3248338492776213e-08,2.6200954345544314e-07,2.2718343114150983e-08,1.3081715517611614e-06,1.1051218472383982e-08,1.240848251083474e-07,1.3573628904625695e-09,6398.4375,23.4375,22101.5625,23.4375,7023.274035754586,27.16272077090889,11560.303485507771,111.77789662223222,5.431173594991096,0.007059954719677464,7.226184966090251,1.0935646306135745,0.014994446458333423,0.00018524333333333996,2.368837507573398,0.19193788600991768,0.01278354166666662,0.002011666666666745,-1.7231586528036284e-17,7.574959178432058e-17,0.02199999999999991,0.0010000000000000009,0.0017674059561537507,1.0917797627857254e-05,-0.1679486115937097,0.10827876163953623,0.0017674059561537507,1.0917797627857254e-05,0.4227964159199833,0.0016670139612419421,7.407659170524066e-05,7.886906968536541e-07,5.445025326993712e-05,3.845305497899094e-06,6.35101854872665e-05,7.36647204263802e-07,3.882464793723932e-05,9.108538335626329e-07,6.792581350460977e-05,3.3610753840798146e-06,4.079331058998471e-05,2.6254438067975317e-06,9.498747727656784e-05,1.1751069386456978e-08,9.126860554520408e-05,1.6800461658120832e-07,6.431748373160942e-05,1.1716738272991468e-06,4.125435380340614e-05,2.7130432126522736e-07,7.297953695624803e-05,4.041033865691878e-07,6.053624755324113e-05,2.8899291537838395e-07,0.0007618426455292529,3.17531356648997e-05,0.0004890569102978994,1.6084542995072114e-05,0.002749213486685888,1.0564925269041306e-05,0.004945858747886242,0.0001931949101268986,0.0061749739950063,3.61386827331606e-06
good/蛋16.xlsx,0,1.1002946015921785e-07,1.9419103429855615e-08,7.666174868832817e-07,1.2046662732080644e-08,2.6086535808852757e-07,1.197394810147089e-08,1.205442096562286e-06,2.2604265388505866e-08,1.2776626608539635e-07,5.456377550505331e-09,6492.1875,23.4375,22007.8125,23.4375,7100.120877483776,42.23156407578881,11175.32842569833,75.391151282196,5.444674938696775,0.062988757308438,6.08973007865931,0.032825553484486125,0.014984155833333412,0.0001348433333333383,2.001496557317858,0.04865455930359186,0.010759166666666653,9.583333333340605e-06,1.7879216625734292e-17,6.175615574477433e-18,0.018999999999999906,0.0,0.0017668151939143452,7.94999986639068e-06,-0.1605249498663815,0.024289790899971728,0.0017668151939143452,7.94999986639068e-06,0.4231089810377162,0.00010418837257761271,8.505976184987682e-05,6.650736456437194e-06,7.74020179484268e-05,7.996749641267535e-06,6.403880519904149e-05,3.848346900849959e-07,3.875964480570721e-05,4.1234422134764907e-07,6.854765308249868e-05,2.279607854585808e-07,4.13490422073121e-05,6.544237458518544e-07,9.576868583924448e-05,3.466656143900481e-07,9.118725954970202e-05,2.8429660593068008e-06,6.424042092630604e-05,1.632940798726501e-06,4.132529818086856e-05,2.6945831979342015e-06,7.37817861730524e-05,4.856254040139154e-07,6.15918091854434e-05,1.4974443155316286e-06,0.0009395798163410979,5.825261253501187e-05,0.0005017522275151335,5.998181832111819e-06,0.0024174581987223085,3.7431804662813256e-05,0.00500968573802511,7.088387932186087e-05,0.0061906427092160085,6.51589103732096e-05
good/蛋17.xlsx,0,9.964553853327009e-08,1.5150105568575647e-08,8.163720659590237e-07,8.906397956817362e-09,2.772322316385354e-07,7.47302859727578e-09,1.3313903872520074e-06,2.0197712542944302e-08,1.2086023062925884e-07,1.0181656959306927e-09,6445.3125,23.4375,22031.25,140.625,7028.445988755828,14.939891037515281,11279.416019947264,228.9486498372571,5.387154054309326,0.015089924645429686,6.744128138939466,2.0379228879380915,0.015061790625000097,0.0004517325000000065,2.038384333234984,0.7373825302857342,0.011999375000000034,0.0037887500000000074,-6.661338147750939e-17,2.3592239273284576e-17,0.020000000000000018,0.0040000000000000036,0.0017712050263708654,2.656692367592004e-05,-0.10156651982431611,0.11284882746152447,0.0017712050263708652,2.656692367592015e-05,0.42644300896020004,0.008022504688476761,8.498443384314454e-05,7.0097994330534335e-06,7.099261352802831e-05,6.45928526385819e-06,6.418798127173057e-05,9.006970487610659e-07,3.835714096727395e-05,1.219329670662476e-07,6.934886580177648e-05,1.563533634294588e-06,4.0285574450487475e-05,2.096091390223519e-06,9.527499225876191e-05,5.043533726899495e-07,9.502607646735822e-05,1.5015524359228514e-06,5.9718983253979674e-05,1.098527894161183e-06,3.979510448938536e-05,2.2933153165164307e-06,7.37205755322501e-05,1.4112644732711885e-06,6.206324090065797e-05,8.001588580631844e-07,0.0008961838663579703,0.00012418063197606143,0.000507314379929127,1.189483175255689e-05,0.002604184435477753,0.00021676429269703668,0.00506495175302603,4.6035735644361225e-05,0.006101811980593127,0.00020729487526323625
good/蛋18.xlsx,0,1.3353212863191034e-07,1.7339918427996215e-08,7.8032823061593e-07,6.462041068009939e-08,2.7207495081096764e-07,3.404821890163432e-08,1.2810999474693207e-06,5.153008410344276e-08,1.411433390591248e-07,1.2739097756804563e-08,6492.1875,23.4375,22031.25,46.875,7162.269728002246,60.197376941998755,11129.745664451959,4.987407953455659,5.414421160554508,0.027765083895132214,7.012744923714701,1.4730408896998983,0.015786010729166744,0.0007827859375000128,2.575853477065246,0.670405630204121,0.012779895833333388,0.002985937500000091,-2.777870526197527e-17,8.782326717711915e-17,0.022500000000000075,0.0045000000000000595,0.0018129338959175006,4.497693049180466e-05,-0.12678569045367533,0.036539449272283836,0.0018129338959175006,4.497693049180466e-05,0.4231089810377162,0.001771202333819527,9.094755399002288e-05,5.244985186766503e-06,8.936104010547435e-05,4.5803631922102e-06,6.391907736967678e-05,2.7618531479758118e-06,3.98081677288262e-05,3.4189475662944112e-06,7.106694174337325e-05,3.766884962815279e-06,4.113310573628645e-05,3.1570995443919457e-06,9.663960697263945e-05,3.559804719887539e-07,9.440189654120956e-05,1.2619127247212152e-06,6.194589155520633e-05,1.00532232944478e-06,4.5547090492213376e-05,4.738942919625434e-06,7.469247082881933e-05,2.0375764736710596e-06,6.388942955750857e-05,2.763219988292313e-06,0.001079531221789261,6.502434619888933e-05,0.0005599809390664804,3.39435080153489e-05,0.0025594429902720426,0.00020716609190711706,0.005207868927422048,0.0001368339322678322,0.006484591887257773,0.0005683266029729598
